document	label
slow-syncro flash , macro/infinity mode , etc .	1
- some features in the user interface	0
the wizard is particularly sinister .	0
its nice look is also a plus .	1
overall it is a great value .	1
the 2nd dvd player had a faulty power supply which caused to occasionally not turn on .	0
just the home version of norton internet/av has too many glitches and problems to even remotely bother with .	0
one caveat i have is that i understand the ipod does not save the photos in such a way that the quality of the image is preserved .	0
now in october , 2004 , the firewall said i couldn 't ok anymore software to use the internet because its full .	0
the router has plenty of power for any type of bit or wood i need to cut , and the speed control knob is easy to get to .	1
it 's so small and light , even with a spare battery , you really can take it anywhere .	1
other than the fact that one can 't delete a file directly from the ipod , the interface is excellent and mind-numbingly simple to use .	1
while i had the phone , the positive features were : good sound quality and an excellent fm phone and earpiece .	1
the headphone jack gave out after only a couple weeks of use , and the stock earbuds were replaced same day with some high end sony 's i 'd been having .	0
but since it 's so small , it isn 't a big deal to bring it with me .	1
my experience with installation was quite good .	1
apart from speed , the signal is consistent and works without interruptions , etc .	1
even the instruction booklet is out of order .	0
sound quality : the ipod 's sound quality is pretty good .	1
some more manual control would have been nice .	0
i already knew something was wrong , because much of the spam i 've seen in the past six months was from resellers of norton products .	0
1-a cell phone is to make calls , in other words , quality of reception and mic/speaker are the most important , the 6600 has a relatively low volume speaker , you 'd have to press it hard against your ear to hear anything the other person is saying , unless the surroundings were completely quiet .	0
it 's really well made and has survived sliding across floors and pavement without a scratch .	1
3 ) joy stick for eazy navigation , 35mb memory card to store the pictures and stuff .	1
this router does everything that it is supposed to do , so i dont really know how to talk that bad about it .	1
power for the tech-savvy , ease of use for the less fortunate .	1
frankly , i think this is one of the niftiest pieces of hardware i 've ever used .	1
this thing is trash .	0
it did play a dvd-r which was unplayable in my older philips machine .	1
m3u files are used by most mp3 players like musicmatch and winamp , but not creative - without notmad you need to manually recreate your playlists ) ; . it does n 't care what software you use to rip or catalog your music - creative or any other company - all my 12 . 5 gb of music were transferred to the zen with correct tags - hooray ! .	1
i took my zen micro with me over the weekend , and was forced to lug my laptop with me on the trip for one reason : to keep the zen micro charged .	0
the touch buttons are textured so that your finger sdon 't slip which was very thoughtful .	1
"not so nice things : - a bit too much weight and power for easy handheld use - spindle lock makes for awkward bit changing ( outside of a table ) - the 1/4 "" chuck sleeve requires much tightening to keep bits from slipping"	0
the included earbuds were uncomfortable .	0
if anyone is thinking of getting an ipod mini , forget it and go with this player .	1
there were sharp screw tips on the underside of the unit coming from inside that were obviously used to anchor the internal control board .	0
without a doubt the finest looking apex dvd player that i 've seen .	1
you can take pic of your friends and the picture will pop up when they call .	1
newbies will find the full auto setting will give them perfect pictures right out of the box .	1
very fast powerup and great speed when taking multiple pictures .	1
1 . pictures taken in an indoor setting are a little dull and rarely hazy if you tend to take photographs from a distance .	0
it is very simple to import via photo 2 and then move them to photoshop .	1
when we tried to hook up the first one , it was broken - the motor would not eject discs or close the door .	0
the internet connection would go down every 5 mins when i used it with a p2p program called bit spirit .	0
the optical and digital zooms combine to give an effective 4x zoom .	1
it gives you the most bang for your buck , period .	1
the mms technology is very well integrated with this phone , which you will enjoy .	1
i did have to cut off the ears that hold the template guide in place so i could get those big panel raising bits in it .	0
im a more happier person after discovering the i/p button ! .	1
) worst feature possible , this alone makes it rate one star : what 's up with no recharge cord ? .	0
personally , i may never buy symantect products again .	0
i have not had any distortion problems with this phone and am more pleased with this phone than any i 've used before .	1
but the major problem i had was with the software .	0
amazon is awesome ! .	1
for one thing , the diapers always get jammed in it .	0
4 ) buttons are quite small and is really a pain exp if one is fond of text messaging .	0
there is no fm tuner , while there is no fm tuner on the creative zen ( on the micro version of the zen there is a tuner ) , the iriver h10-20gb , the rio karma , and the audio x5 have fm tuners .	0
seems to work great .	1
i do not need to repeat what 's great about this phone .	1
i 've only had it a week , but so far , everything about this camera is making me happy .	1
the diaper champ couldn 't be easier to use .	1
it makes the nomad i purchase feel and look like junk .	1
you can even use the ipod to store files from your pc and export your outlook files to it .	1
the unit itself did lock up a few times and i had to hit the reset button but that was a fairly painless process as well .	0
on the whole , i 'm quite happy with the purchase .	1
pc cable is too expensive . . . $ 50 for a usb cable ? .	0
i got the diaper champ because of the great reviews as well as the fact that you can use regular garbage bags .	1
many people have written about the software being its one downfall , personally i have n 't had a single problem with the software , i 'm running windows me .	1
it 's easy to use , and makes transfering your cd collection to the player a cinch .	1
great quality picture and features .	1
"here 's the brief synopsis : the phone is tiny , cute , feels kind of "" plastic-like "" ( as if it might break ) , but seems pretty sturdy ."	1
combine this with the excellent price we got in the gold box , and i 'm really happy .	1
for those mac osx users out there , isync works fairly well .	1
3 . play java games on it .	1
its steel backing picks up fingerprints and scratches easily , not great from a cosmetic standpoint .	0
"this is a nice feature ( i . e . it 's early in the morning and you rather listen to "" easy listening "" rather than "" heavy metal "" - no problem ."	1
i could make phone calls from locations i previously could not ( like my apartment ) .	1
removable and cheap battery - a li battery usually works properly for 1-3 years .	1
