document	label
Name Dondi 's adoptive grandfather .	3
What is the probability that at least 2 out of 25 people will have the same birthday ?	5
Who was the first person to study the stars ?	3
What is LMDS ?	2
What 's Japan 's largest car manufacturer ?	3
What is a fear of cholera ?	1
Where are there aborigines ?	4
What is the fear of the computer called ?	1
Where did the Wright brothers make their first flight ?	4
What is the chemical reactivity of helium ?	5
What color is an Arctic fox in winter ?	1
What is the dot on an the letter i called ?	1
How fast does the fastest car go ?	5
What war did the Wanna-Go-Home Riots occur after ?	1
In what part of the world is Mozambique ?	4
What radio , TV and movie character did Jackie Gleason and William Bendix play ?	3
What is the name of the largest city in Chile , South America ?	4
What made the short-lived Star Hawks strip so unique ?	0
What was the man 's name who was killed in a duel with Aaron Burr ?	3
What is her profession ?	3
What is the name of the American literary era that includes 1896 ?	1
What was spawned the term `` MiG Alley '' ?	1
What populous state covers 49 , 576 square miles ?	4
What country was Kim Philby really working for ?	4
What is the name of the rare neurological disease with symptoms such as : involuntary movements , tics , swearing , and incoherent vocalizations , grunts , shouts , etc. ?	1
How long does it take for your blood to make one complete trip through the body ?	5
What ice creams contain seaweed ?	1
How can I easily remove red wine stains from t-shirts ?	0
What city has the world 's longest subway system ?	4
Who is behind the name of the Harvey Wallbanger drink ?	3
Who was President of Afghanistan in 1994 ?	3
What is the name of the highest mountain in Africa ?	4
What is the population of Kansas ?	5
What is DEET ?	2
What dangles over the tongue from the palate ?	1
Where can I look at a perpetual calendar ?	4
Rotary engines were manufactured by which company ?	3
What materials did the three little pigs use to build their houses ?	1
When was Florida admitted into the Union ?	5
How much did Alaska cost when bought from Russia ?	5
What is President Nixon 's birthdate ?	5
What is the name of the Islamic counterpart to the Red Cross ?	1
What is the abbreviation of the National Bureau of Investigation ?	2
Why is it called `` hamburger '' if there is no ham in it ?	0
What U.S. city 's skyline boasts the Gateway Arch ?	4
What is D.B. Cooper known for ?	0
In what ways did Ivan IV support Russian expansion ?	1
What was George Washington afraid of ?	1
What country did King Wenceslas rule ?	4
When was the Big Thompson flood ?	5
What is Smartnet ?	0
Where can stocks be traded on-line ?	4
What is it like to experience a near death episode ?	0
What country is the origin of the band the Creeps ?	4
How long is the Coney Island boardwalk ?	5
Who is the composer of `` Canon in D Major '' ?	3
Where was George Washington born ?	4
When was child labor abolished ?	5
What civil war was fought between 1936 and 1939 ?	1
Who was the first English circumnavigator of the globe ?	3
Who wrote the bestselling Missionary Travels and Researches in South Africa , published in 1857 ?	3
Which U.S. President is buried in Washington , D.C. ?	3
What is the highest Roman numeral ?	0
Who discovered x-rays ?	3
What Batman character tools around on a Batcycle ?	3
Whom does Uncle Duke 's girl friend , Honey , room with ?	3
What are chloroplasts ?	0
What color is a giraffe 's tongue ?	1
What is the most advanced handheld calculator in the world ?	1
What is the function of the appendix ?	0
What do most tourists visit in Reims ?	4
Who played Maria in the film West Side Story ?	3
How much does the President get paid ?	5
What kind of car did Janis Joplin ask the Lord to buy her ?	1
How many web servers are there ?	5
Who was the only U.S. President to wear a Nazi uniform ?	3
Which two states enclose Chesapeake Bay ?	4
What is another name for vitamin B1 ?	1
In what city is the famed St. Mark 's Square ?	4
Why do some people have two different color eyes ?	0
How do you build a solar car for a high school experiment ?	0
What is the abbreviation for Texas ?	2
How do you find out what is allowed to claim as a contibution for income tax purposes ?	0
What color are tennis balls ?	1
Which German president was pressured into appointing Hitler chancellor in 1933 ?	3
What is the `` coppertop '' battery ?	0
When do MORMONS believe Christ was born ?	5
How many different languages are spoken in Europe ?	5
What is the softest part of the body ?	1
How many dollars a day did Arthur Frommer say you could get by on in Europe in 1968 ?	5
What Italian leader had a lifelong fear of the evil eye ?	3
What year did WWII begin ?	5
How is carbon dioxide removed from natural gas ?	0
What 's the capital of Taiwan ?	4
Where is the Valley of the Kings ?	4
What is the longest word in the English language ?	1
What is a transistor ?	0
In which state are the Mark Twain National Forests ?	4
Who directed Citizen Kane ?	3
What baseball team owner and sailor is known as The Mouth of the South ?	3
What 's the term for a young fox ?	1
Which country has the most water pollution ?	4
Who was the first elected mayor of Washington , D.C. ?	3
What kind of puzzle first appeared in the U.S. in the New York World on December 21 , 1913 ?	1
What is the name given to a group of geese ?	1
What money was used by them ?	1
Who wrote NN DT NNP NNP '' ?	3
How many years did Sleeping Beauty sleep ?	5
Why is the grass green ?	0
When was the Parthenon built ?	5
What strait links the Mediterranean Sea and the Atlantic Ocean ?	4
What are the chemicals used in glowsticks ?	1
Who claimed he killed 4 , 280 buffalo as food for the crew building the Kansas Pacific Railway ?	3
What color is Chablis ?	1
What were the first bodies visited by spacecraft ?	4
What Triple Crown-winning horse took the 1973 Belmont Stakes by 31 lengths ?	1
When did Aldous Huxley write , `` Brave New World '' ?	5
What breed of hunting dog did the Beverly Hillbillies own ?	1
In which Tennessee Williams play is one of the characters killed and devoured by a mob of starving children ?	1
How many astronauts manned each Project Mercury flight ?	5
How do I check if my modem is v.9 compatible ?	0
Where is Romania located ?	4
How long does it take the moon to revolve around the Earth ?	5
What was the species of Winnie the Pooh ?	1
Where did the term `` 69 '' come from ?	0
What is ` Last Chance for Animals ' ?	0
How many liters in a gallon ?	5
What is film noir ?	0
What is the name of the president of Garmat U.S.A ?	3
Who invented panties ?	3
What is the most common eye color ?	1
How many cards are dealt to each player in Gin Rummy ?	5
Who retired with 755 home runs to his credit ?	3
Where can I get a map of Prussia on the Internet ?	4
What net game sees its women 's world amateur champions receive the Uber Cup ?	1
How big is our galaxy in diameter ?	5
When did Elvis Presley die ?	5
What is the acronym for the rating system for air conditioner efficiency ?	2
Aspartame is also known as what ?	1
What two baseball players make up the battery ?	3
Who declared : `` I am down on whores and I shan 't stop ripping them '' ?	3
What is the most popular sport in Japan ?	1
What car was driven in the 199 release of `` Smokey and the Bandit '' ?	1
What is the temperature of the sun 's surface ?	5
What is RAM in the computer ?	2
What is the name of Kevin Costner 's movie about Sioux Indians ?	1
What is the most frequently spoken language in the Netherlands ?	1
What 's the middle name of movie producer Joseph E. Levine ?	3
Name Li 'l Abner 's favorite Indian drink .	1
Who wrote Brave New World ?	3
What bird can swim but can 't fly ?	1
When is Bastille Day ?	5
Who was the first American to walk in space ?	3
