document	label
who in the hell needs a frigging *vga* camera on their cellphone ? . ? . ? .	0
even leaving it on the default setting ( without the eax enhancements ) produces crystal clear playback .	1
i would recommend this camera unequivocally ! .	1
i just purchased this player and i have to say that i love it .	1
the wood can be pushed thru fast or slow with little bog .	1
even after all the nightmare sound problems , i 'd still half-way like this product if it kept it 's promise ; . the ability to store 1500 songs .	0
the support has been less than impressive , considering the cost .	0
the biggest red flag for me was the fact that although my cousin 's player was relatively new , it was riddled with scratches .	0
the eax sound enhancement feature did n 't do enough for me and the custom eq was a limited 5 band eq .	0
no memory stick slots -- although a rare feature , it would be nice to have extra storage , not that it needs it built-in lithium battery -- a huge hassle to bring this back ; . draining the battery once you get it helps , but removable/replaceable ones are a lot more convenient	0
this camera is an excellent choice for an ultracompact , take anywhere device and boasts an outstanding movie mode to boot .	1
i send my camera to nikon for servicing , took them a whole 6 weeks to diagnose the problem .	0
the keys are close together , and the layout is a bit funky in relation to standard rectangular layout keypads , but it 's not too weird .	0
. this camera keeps on outfoxing in auto mode with a buzzing sound which can 't be stopped .	0
this camera also has a great feel and weight to it .	1
naturally i did quite a bit of review before purchasing ( i recommend www . no madness . net ) , and price-wise zens are unbeatable .	1
"the bottom line is "" phone is cool one - only for the moment , as its the latest phone in the market and has all the new features , but this will soon be displaced by upcoming newer phones "" ."	1
i actually took a friends word on it and went with this champ when registering and i am glad i did .	1
the touch buttons are textured so that your finger sdon 't slip which was very thoughtful .	1
everything , so far , has worked flawlessly .	1
unit worked great for 3 weeks then video output failed .	0
i love the continuous shot mode , which allows you to take up to 16 pix in rapid succession -- great for action shots .	1
the wrt54g offers excellent security features and much more ( and easier ) configuration menu that i didn 't even need a manual to setup correctly .	1
i have had no problems with the phone .	1
our norton internet/av 2004 was terrible right from the get go , so i 'd think that if steelworks is ok now , it should remain ok .	0
i am very pleased so far .	1
it has plenty of power .	1
removable and cheap battery - a li battery usually works properly for 1-3 years .	1
because this camera is beautiful .	1
but from my experience , by the time it gets to that point , the bag is really heavy , so i think this is kind of helpful- it 's a built-in way of keeping the bag manageable upon emptying .	1
3 the picture editing software it came with is adequate , but not very robust .	0
-- > does not recognize player at random times , despite being connected and displaying player 's library .	0
it 's not a listed feature but , the one thing that sold the unit is that it plays mpeg video .	1
it 's easy to install the security on this product but linksys doesn 't do a good job of explaining why its important .	1
the nokia 6600 is a decent extension of the smart phone line .	1
i 've attempted to connect this unit to several different tvs , using a multitude of connection methods , and i still can 't get a video signal from the machine .	0
respectable , solid , but not awe-inspiring .	0
i bought this phone for my trip to south africa and it worked almost perfectly .	1
so loud , really , that it does n 't work terribly well as a silent ringer option .	0
i have noticed an odor ( one the i expected ! . ) when unloading the diaper champ but at least you don 't smell anything every time you use it .	0
rather than creating a directory for bookmarks to be found in one area , the user must actually find the track where the bookmark was made . .	0
recently the variable speed control went out .	0
the sound is bright and clear , the ability to store any mp3 's ( and not just apple-approved files ) is great , and i plan to make use of the storage space and sound recording from time to time .	1
the hot shoe flash attachment allowed me to buy and use a sophisticated flash unit :	1
even just turning the camera on will move the lens a little , resulting in a noisy start-up .	0
they didn 't know what the problem could be .	0
the blue backlit lcd looks really neat and is easy to read .	1
if you love your cell phone games or changing your ring tones everyday , nokia beats everyone else .	1
the menu options appear one at a time , taking up the whole screen , and one has to scroll down one by one , or have memorized where they are in the menu order , to select them by using the number keypad .	0
works perfectly with my netgear wireless paramecia .	1
sure they say if it 's their fault you won 't get charged , but they are the ones who get to decide whether it 's their fault .	0
4- looks great .	1
the sound is great , and the volume is more than satisfactory for commutes and shutting out external noise .	1
this makes for a great phone .	1
i bought the diaper champ and have been very happy for the following reasons .	1
the included headphones suck , so get your own .	0
"the two biggest things is the excellent working speakerphone "" unlike the nokia 3650 "" and the superb reception nokia is known for in the gsm phones they make . . ."	1
i 've had no problems with the software .	1
it 's easy to use . not too small , and not too big .	1
it 's too bad , though , that ! .	0
i tried calling the support number for a week , several times a day , and always got a busy signal .	0
the buttons and interface are very easy to use .	1
the battery life is ok , but can be somewhat short when working a lot with the monitor on .	1
well , it was nice while it lasted .	1
yes , the picture quality and features which are too numerous to mention are unmatched for any camera in this price range .	1
i 'm not sure whether this is related to the charge cycle of its li-ion battery , the better firmware , or a combination of both factors .	1
one still works fine , the other quit after one day .	0
* scroll button more cumbersome than on earlier models .	0
overall , a very disappointing product .	0
the interface used could be better designed .	0
mine generally requires a charge every 48 hours or so and i don 't really talk on it that much .	0
"even the "" shorter "" battery life , though , has not impaired my positive experience with the zen micro in any way ."	0
7 . mediasource did not install on my personal notebook .	0
it has never worked .	0
nothing has broken on it , and it plays all the dvds i have .	1
i will never buy their product again at this rate , and neither should you .	0
it seems to be working fine , but we 've not used it all that much .	1
this is somewhat annoying , but from working with computers ( especially windows -- ugh . . . )	0
the buttons are rather stiff .	0
yes there is a corner lens barrel distortion ( i do n 't like it too but no harm done since i always use the cam ea lcd screen to see exactly what i 'm going to get ) in the viewfinder when you do n 't zoom ( when you zoom the lens distortion goes away ) , canon knows this and engineered it that way to minimize the parallax phenomenon ; . that is what lamest exactly ot the picture .	0
the only other problem was that security for the wireless connection .	0
operating its many features is easy and often obvious - i 'm no annie levitt's , but i was able to figure out most of its abilities just messing around with it at a camera store .	1
i discovered that the camera has a manual mode that gives you total control over exposure , white balance , flash ( red eye , person against bright background , flash on , flash off , flash automatic ) .	1
the lcd screen was very large and readable .	1
when the screen stops working , you 're out of luck ! .	0
it wo n 't play 80 % of my movies , which are all store bough ten .	0
the nokia 660 runs the symbian os , which works pretty well for most standard phone fare , most of the stuff is not that intuitive , but if you actually learn how to use it all , there 's plenty of neat tie-ins .	1
i find the lack of entertaining games on this phone quite disturbing .	0
amazon is awesome ! .	1
again , every review written about the tech line is true . . . after waiting close to 45 minutes i finally spoke to a rep .	0
the screen is very easy to read and the blue light is bright enough to read at night , but dim enough so it does n 't blind you when you stare too long .	1
i have not even used my new dvd player and already i am disappointed ! .	0
i like it 's shape and it 's keypad and joystick .	1
the small size is perfect for my little hands , but may perhaps be uncomfortable or awkward for a bigger person .	1
it takes great pictures , operates quickly , and feels solid .	1
it 's a rip off if one buys norton internet security and antivirus .	0
they are extremely convent and you don 't have to buy them seperately has i-tunes , which provides quality music at low prices .	1
this is not an enterprise piece of hardware that you will find in an office or corporate environment .	0
this is a great deal , and i 'm elated with my decision to go with hitachi 's green machine .	1
pros the design is very nice , and the colors are too .	1
creative did well on its rechargeable battery feature . .	1
the flaw is inside the zen .	0
seriously ! . i love it ! .	1
versatile and stylish .	1
i , as many others , have waited for many years for the convergence of price , features , size and ease of use to hit that happy center point .	1
i 've used the speakerphone for almost two hours once and the battery did not even go down one single bar .	1
we keep the diaper champ in our daughter 's nursery and her room definitely does not smell like dirty diapers .	1
nice palm sized unit , somewhat bigger then the ipod but not an issue if you 're not going to try & jog with it or something .	1
creative has excellent music software , a very responsive tech support group ( they are quick on firmware updates , and make them publicly available ) , and usually a good array of accessories .	1
very fast powerup and great speed when taking multiple pictures .	1
"i have only used it with the 1/4 "" collet and a 1/2 "" round over bit , but i love how it starts up with little torque and runs very quietly ."	1
the bass is deep and the treble is clear .	1
i have never had this problem with any other software on my computer .	0
the grain was terrible .	0
norton support is completely pathetic .	0
"the unit seems to play all formats that i have put in it ( jpeg , kodak pic 's and dvd-r ) i have read other reviews and some good and so om not so good , but my feeling at this time is "" two thumbs up "" ! ."	1
this is wonderful to have for your first dvd player .	1
the battery life is not that of the casio 's but its good and your going to get better pictures in my opinion with the battery life you've got .	1
i can 't tell you how many times i 've chipped a nail or hurt my fingertips because of the force needed to open it .	0
) worst feature possible , this alone makes it rate one star : what 's up with no recharge cord ? .	0
on top of being a workhorse and ultra reliable , it is just a plunge router that works really well .	1
first of all , i 've never been big on earbuds - they 're just not that comfortable .	0
sound quality on this is amazing , as with all creative products .	1
the actual experience of using the ipod is magnificent .	1
once you set it up , it 's great .	1
it has great battery life , fm radio , excellent signal , hands free speakerphone ( which i have to say is probably my favorite function ) and downloadable java apps .	1
