document	label
How does a scientific calculator work ?	0
Who is the monarch of the United Kingdom ?	3
What animal has killed the most people ?	1
What city is found in the city of OZ ?	4
What is the abbreviation of the International Olympic Committee ?	2
What ill-fated craft was captained by Ernst Lehmann ?	1
Name Dondi 's adoptive grandfather .	3
A corgi is a kind of what ?	1
What currency does Argentina use ?	1
Where can I find up-to-date coastal ocean surface temperature information , preferably along North America and the Caribbean ?	4
The Jewish alphabet is known as what ?	1
What do you call a group of geese ?	1
What name does the world know Renaissance artist Kyriakos Theotokopoulos by ?	3
How far is the service line from the net in tennis ?	5
How many cables support the main span of the Golden Gate Bridge ?	5
Where can I find a review of Nightmare on Elm Street in a film journal ?	4
What is the tallest mountain ?	4
What diamond producer controls about 80% of the world 's diamonds ?	3
What does verdandi mean ?	0
Who discovered electricity ?	3
What park contains Firehole River and Fairy Falls ?	4
Which mayonnaise refers to itself as `` real '' mayonnaise ?	1
What is the average life span for a chicken ?	5
How much money was the minimum wage in 1991 ?	5
What 's the Red Planet ?	0
What is the history of Spartacus , the Roman slave and gladiator ?	0
How do cameras take pictures ?	0
How does a small businessman contact the Good Humor Ice Cream company to do business with them ?	0
What animal do buffalo wings come from ?	1
Which of the following people is not associated with Andy Warhol ?	3
What are the shoe sizes of O 'Neal , Jordan , and Mutombo , the NBA players ?	5
What must be exceeded to produce a sonic boom ?	1
Who portrayed Dracula in Hammer Studios ' films ?	3
What caused Shea & Gould to close their L.A. office ?	0
What are Halloween 's colors ?	1
What is goldenseal ?	0
Which president was unmarried ?	3
What drink is the best thirst-quencher ?	1
What presidential press secretary dismissed Watergate as a third-rate burglary attempt ?	3
Where are the busiest ports in the world ?	4
What is the latitude and longitude of El Paso , Texas ?	5
What 's the second-lightest element ?	1
Which infectious disease is the world 's deadliest ?	1
What is the Jewish bible called ?	1
What was a California prayer book to an Old West gambler ?	1
What English queen had seventeen children ?	3
What record company produced the 1978 movie The Wiz ?	3
What city was President William McKinley shot in ?	4
What was the monster in Spielberg 's film `` Jaws '' ?	1
Who discovered radium ?	3
What are some of Australia 's native flora ?	1
Madonna hocks which soft drink ?	1
What 's the name of Tom Sawyer 's aunt with whom he lives ?	3
What breed of hunting dog did the Beverly Hillbillies own ?	1
What film or films has Jude Law appeared in ?	1
What actor 's autobiography is titled All My Yesterdays ?	3
What is the correct way to mount a roll of toilet paper ?	1
Who is Olive Oyl 's brother ?	3
What year did Hitler die ?	5
Who graced the airwaves with such pearls as `` Do ya lo-o-ove me ? Get naked , baby ! '' ?	3
What anesthetic did Queen Victoria allow to be used for the birth of her seventh child , in 1853 ?	1
What is the time it takes a typist to type a screenplay that is 100 pages long ?	5
Where can I find the schematics to the windshield wiper mechanism ?	4
What is Muscular Dystrophy ?	0
What 's a water funnel ?	0
What is the 401 , K , plan ?	0
Where is the largest dam in the world ?	4
What is LMDS ?	2
What 's destroyed in Genesis 19 : 24 ?	1
What are the names of the tourist attractions in Reims ?	4
What direction do the best surfing beaches face ?	4
How far away is the moon ?	5
What is the average date when most malls begin putting up Christmas holiday decorations ?	5
What film opens with an assassin tumbling from the Seattle Space Needle ?	1
How much money does the Sultan of Brunei have ?	5
What star-faring race brought about the Inhumans on Marvel 's Earth ?	1
What are the names of Richard Nixon 's two daughters ?	3
What 's an auberge in France ?	0
What country is proud to claim Volcano National Park ?	4
What 's the biggest-selling U.S. magazine aimed at a black audience ?	1
How can I get started in writing for television ?	0
What is the difference between Neoclassical art and Romanticism art ?	0
Who danced into stardom with Fred Astaire in 1941 's You 'll Never Get Rich ?	3
Who wrote the book , `` Huckleberry Finn '' ?	3
What historical event happened in Dogtown in 1899 ?	1
Who portrayed Fatman in the television show , `` Jake and the Fatman '' ?	3
Where did George of the Jungle live ?	4
What director portrayed the commandant of the POW camp in 1953 's Stalag 17 ?	3
What is the statue of liberty made of ?	1
Who wrote Sons and Lovers ?	3
What is the term for a group of geese ?	1
Name the designer of the shoe that spawned millions of plastic imitations , known as ` jellies ' .	3
What Robert Louis Stevenson novel was inspired by Deacon William Brodie , a cabinetmaker by day and burglar by night ?	1
Who used to make cars with rotary engines ?	3
What is the best-selling book of all time ?	1
Why did David Koresh ask the FBI for a word processor ?	0
How many equal angles are there in an isosceles triangle ?	5
What do the figures represent on the Easter Island ?	0
Where does the opera singer Ileana Cotrubas come from ?	4
What is difference between a poster and a print ?	0
What are the statistics for drunken drivers in Maryland ?	5
What city 's newspaper is called `` The Star '' ?	4
What is the meaning of Jesus ?	0
Who was the first woman golfer to earn a million ?	3
Who was actress June Havoc 's legendary sister ?	3
What do the letters CE stand for on so many products , particularly electrical , purchased now ?	2
How big is the largest diamond ?	5
What chapter of the Bible has the most verses ?	5
How do you tell somebody you like them ?	0
How much do drugs to treat tuberculosis cost ?	5
Where is the human skin least sensitive ?	1
Name the person who burst through the screen in the Lite beer commercials .	3
What does a barometer measure ?	1
What 2th-century American poet wrote a four-volume biography of Abraham Lincoln ?	3
Where do chihuahuas come from ?	0
What TV station did Mary Richards work for ?	1
How do they raise the cranes when building high-rise buildings ?	0
Why do pressure cookers save time in the kitchen ?	0
What does IBM stand for ?	2
What actor learned to play the saxophone and speak Russian for a role in a movie ?	3
What radio station did Paul Harvey work for ?	3
What is the contents of proposition 98 ?	0
How does hair curl ?	0
What mystery writer penned `` ...the glory that was Greece , and the grandeur that was Rome '' ?	3
When was China 's first nuclear test ?	5
How many more weeks of winter are there if a ground hog sees his shadow ?	5
What are the first six words of Dickens 's A Tale of Two Cities ?	1
How many four star generals were there and who are they ?	5
Who does data collection in tourism ?	3
What is the name of the managing director of Apricot Computer ?	3
What is a fear of being dirty ?	1
What are dingoes ?	0
What 's the tallest building in New York City ?	4
Why is black the color of mourning in the West ?	0
How long was Mao 's 1930s Long March ?	5
What is Black Hills , South Dakota most famous for ?	0
Why did the chicken cross the road ?	0
What city does Orly Airport serve ?	4
How do I find a web address for a company ?	0
What is Dick Clark 's birthday ?	5
What organ contains the islands of Langerhans ?	1
What will happen when sodium is put in water ?	0
What was the 1940 annual salary for a boilermaker ?	5
What is the chunnel ?	0
George Bush purchased a small interest in which baseball team ?	3
What is neuropathy ?	0
How long did the Paris Commune hold out for against the rest of France ?	5
What is the melting point of copper ?	5
How many members of a family could be drafted in the U.S. military during World War II ?	5
What well-known music personality is the father of an adopted son named Hans Christian Henderson ?	3
When was the battle of the Somme fought ?	5
Who was the first animal into space ?	1
How many languages are there in the world ?	5
What does storm wave mean in Japanese ?	0
How does color affect a person psychologically ?	0
What does the method called `` cold fusion '' create ?	1
What country borders the most others ?	4
Who was the author of the famous fairy tale `` Snow White and Seven Dwarfs '' ?	3
What was Thatcher 's approval rating after 10 years in power ?	5
What English explorer discovered and named Virginia ?	3
Who was William Henry Harrison ?	3
Where does Barney Rubble go to work after he drops Fred off in the `` Flintstones '' cartoon series ?	4
What is The Gay Science ?	0
When was President Kennedy shot ?	5
Why do recipe books recommend starting with cold water when you boil something ?	0
In Beetle Bailey , can you name Sarge 's dog ?	1
What is paracetamol ?	0
What is the chemiosmotic theory ?	0
What Judith Rossner novel was made into a film starring Diane Keaton ?	1
Where can one find information on religion and health , the brain and nutrition ?	4
What boxer 's life story is titled Raging Bull ?	3
What is the difference between terry cloth and French terry ?	0
When was Yemen reunified ?	5
Which police department made the largest cocaine seizure ever in Ventura County ?	3
What was the first video ever made ?	1
What building built in 18 contains 327 miles of book shelves ?	4
Who was the actor who played Sam in the movie Casablanca ?	3
What does the abbreviation OAS stand for ?	2
Who won Ms. American in 1989 ?	3
What is the origin of the term `` The Brooklyn Side '' in bowling ?	0
What is the longest word in the English language ?	1
Who is the congressman from state of Texas on the armed forces committee ?	3
Whom does Uncle Duke 's girl friend , Honey , room with ?	3
What baseball team became the Minnesota Twins ?	3
What is the largest office block in the world ?	4
What was the V-8 Juice slogan : `` the tastebud '' ?	0
At Christmas time , what is the traditional thing to do under the mistletoe ?	1
How do I give a good massage ?	0
What percentage of American men are alcoholic ?	5
What sound does Olympia , Washington , overlook ?	4
What is the average cost for four years of medical school ?	5
What is the name of Jamiroquai new album ?	1
Why is Rush 's 2112 called 2112 ?	0
What Homerian epic chronicles events toward the end of the Trojan Wars ?	1
What year was the NAACP founded ?	5
Who started the Dominos Pizza chain ?	3
What are close encounters of the first and second kind ?	1
How many people have been killed in wars , armed conflicts ?	5
How do you exterminate bees that are in the walls of your home ? Will bee eggs remain over winter ?	0
Who was the king who was forced to agree to the Magna Carta ?	3
What are the `` Star Wars '' satellites ?	0
What 's nature 's purpose for tornadoes ?	0
What was Joe Namath 's first contract worth ?	5
How does rabies spread ?	0
What sport do the Cleaveland Cavaliers play ?	1
What are the residents of the island of Lesbos called ?	3
Who sang about Desmond and Molly Jones ?	3
What is hybridization ?	0
What was the name of the first Watergate special prosecutor , later fired by Nixon ?	3
What are the four largest mountain ranges on the Asian continent ?	4
Where is the volcano Mauna Loa ?	4
How is Easter Sunday 's date determined ?	0
What Leon Uris novel dealt with the Russian capture of Berlin ?	1
What fraction of a beaver 's life is spent swimming ?	5
What 's the world 's most common compound ?	1
What are the only two states that incorporate the Confederate battle flag in their flags ?	4
How does ultraviolet light damage the DNA of skin cells ?	0
What country did King Gustav V reign over from 197 to 195 ?	4
What does BMW stand for ?	2
How can you be happy ?	0
What is a good book to read for people who hate to read ?	1
What is form drag ?	0
What does EKG stand for ?	2
What person 's head is on a dime ?	3
Name a French fascist party .	3
What U.S. state has the lowest highest elevation at 6 feet ?	4
How much energy is released when oxygen and hydrogen mix ?	5
How do you say `` Grandma '' in Irish ?	1
How long is the Coney Island boardwalk ?	5
What is the Milky Way ?	0
What is the starting salary of a radiographer ?	5
Who made the rotary engine automobile ?	3
What European race sees the winner of its mountain stage awarded a jersey with large red polka dots ?	1
Where is the Orinoco ?	4
Who played Emperor Palpatine in Star Wars ?	3
What are pediatricians ?	0
Who was the first US President to ride in an automobile to his inauguration ?	3
What part did John Peter Zenger play in the deveopment of the newspaper in America ?	3
What golfing accessory was patented by George Grant on December 12	1
What are the four most widely-used languages in North America ?	1
Who invented the telephone ?	3
Which produces the longer sperm - an elephant or a mouse ?	1
Who leads the star ship Enterprise in Star Trek ?	3
In Waugh 's `` A Handful of Dust , '' what does the mad old man force the hero to do every afternoon ?	0
What are people doing to help prevent the extinction of birds ?	0
What are the Urals ?	0
Rotary engines used to be made by whom ?	3
What is a fear of going to bed ?	1
What 's the middle name of movie producer Joseph E. Levine ?	3
What do flatfish eat ?	1
Which country gave New York the Statue of Liberty ?	4
How does lightning travel ?	0
What comedian was banned from the Ed Sullivan Show for allegedly making an obscene gesture at the show 's host ?	3
What mountain range is traversed by the highest railroad in the world ?	4
Who was the last U.S. president to reinstate Selective Service registration ?	3
When did Jaco Pastorius die ?	5
Where did the name root beer come from ?	0
What currency does Luxembourg use ?	1
What is Remembrance Day all about ?	0
What line of candy products included Super Skrunch and Peanut Butter Oompas ?	1
What is the origin of the word `` mushroom '' ?	0
What is `` Vocal Sampling '' ?	0
What was the education system in the 1960 's ?	1
What kind of people took part in Shays ' Rebellion in Massachusetts in 1787 ?	3
How does General Mills manufacture Cheerios ?	0
Who betrayed Norway to the Nazis ?	3
How much fiber should you have per day ?	5
What game is Garry Kasparov really good at ?	1
What fast food is prepared with a `` secret blend of 11 herbs and spices ? ''	1
What woman has carried the most multiple births , twins , triplets , etc. , ?	3
What do you say to a friend who ignores you for other friends ?	0
What is the capital of Italy ?	4
What are the three animals in Sheila Burnford 's The Incredible Journey ?	1
What is foot and mouth disease ?	1
Who was the first American citizen awarded the Albert Medal of the Society of Arts ?	3
What two major world religions began in India ?	1
What plant is rum made from ?	1
What does a chiropodist treat ?	1
How many tenths of the Earth 's surface lie under water ?	5
What is the location of Lake Champlain ?	4
What 's been the ruin of many a poor boy in New Orleans ?	1
How do you clean an LCD monitor screen ?	0
What did British companies stick 175 , 0 tons of tea into in 1982 ?	1
What year did Oklahoma become a state ?	5
How many members are in the California congressional delegation ?	5
Mississippi has what name for a state nickname ?	4
What relative of the racoon is sometimes known as the cat-bear ?	1
What country is famous for Persian rugs ?	4
What kind of car did Janis Joplin ask the Lord to buy her ?	1
What is the only modern language that capitalizes its singular first-person pronoun ?	1
What `` little red car '' is mentioned in pop singer Prince 's hit song ?	1
Which college did Dikembe Mutombo play basketball at ?	3
How is an executioner determined ?	0
What carries sperm up into the pelvic region ?	1
How many sides does an obelisk have ?	5
What scale measures earthquakes ?	1
Who was the 22nd President of the US ?	3
What is `` alternative '' anymore ?	0
What is multimedia ?	0
What is a fear of slime ?	1
How often are quadruplets born ?	5
What is the size of the student body at the University of Massachusetts in Amherst ?	5
What was Simple Simon fishing for in his mother 's pail ?	1
How is ` qigong ' properly pronounced ?	0
What two countries contain Sierra Nevada mountains ?	4
What professional sports league originated the college draft ?	3
Who provides telephone service in Orange County , California ?	3
How much does water weigh ?	5
What is a rhomboideus minor ?	0
Name an art gallery in New York .	4
What does Elysium mean ?	0
Who led the Normans to victory in the Battle of Hastings ?	3
What is commonly considered the fifth sense ?	0
What soft drink first appeared in the Old Corner Drug Store in Waco , Texas , in 1885 ?	1
What war saw battles at Parrot 's Beak and Black Virgin ?	1
Name the three races unleashed by the Celestials in Marvel comics .	3
How many points is a disk in the center hole worth in Crokinole ?	5
What is Jane Goodall known for ?	0
Who starred in the movie The War of the Worlds ?	3
How long does it take to hike the entire Appalachian Trail ?	5
How can I find online spelling ?	0
What Broadway musical was inspired by Cervantes 's Don Quixote ?	1
What is Mississippi 's state animal ?	1
How many months does it take the moon to revolve around the Earth ?	5
What is Bella Abzug 's sartorial trademark ?	1
What caused the death of Bob Marley ?	0
How many Jews were executed in concentration camps during WWII ?	5
How many times a day should you take a prescription marked `` q.i.d . '' ?	5
What is a micron ?	0
Who is the director of intergovernmental affairs for the San Diego county ?	3
Who created Harry Lime ?	3
What comedian has a legendary reputation for stealing jokes ?	3
What 's the motto of the Boy Scouts ?	0
What is `` the computer for the rest of us '' ?	0
How can you become an FBI agent ?	0
Where is Hearst Castle , built by publisher William Randolph Hearst ?	4
Who did Bobby Fischer beat to win the world chess championship ?	3
What do sailors use to measure time ?	1
Who is the creator of `` The Muppets '' ?	3
What is the Internet2 ?	0
Who painted `` Soft Self-Portrait with Grilled Bacon '' ?	3
Who came up with the name , El Nino ?	3
Who is the mayor of Marbella ?	3
When did Princess Diana and Prince Charles get married ?	5
When did CNN go on the air ?	5
In what spacecraft did U.S. astronaut Alan Shepard make his historic 1961 flight ?	1
Name the operating system that runs on IBM-compatible machines .	1
What are the five richest countries in the world ?	4
What does the acronym CPR mean ?	2
Where did Sarge Steel get his metal hand ?	4
How deep is a fathom ?	5
Who is Mia Farrow 's mother ?	3
What bread company used to feature stickers of the Cisco Kid on the ends of their packages ?	3
Who became president of the U.S. in 1789 ?	3
What was the name of the Confederate mounted guerrilla group with which Jesse James and Coleman Younger had ridden ?	3
Why are peanut butter cookies topped with crisscrosses ?	0
What is the best online games site ?	4
What group was formed in 1969 after police met resistance from patrons at the Stonewall , a Greenwich Village gay bar ?	3
What two baseball players make up the battery ?	3
What is the largest shopping mall in the world ?	4
What is the chemical reactivity of helium ?	5
What is the average time to kiss somene ?	5
What Las Vegas hotel burned in November , 1980 , with the loss of 84 lives ?	4
Where is the official `` zero '' of the sea level ?	4
What famed clown appeared on an early Howdy Doody Show and insisted that Clarabell be made up as a real clown ?	3
What is the life expectancy of an elephant ?	5
What organization is the Security Council a part of ?	3
What is the most commonly used 1 letter word in the English language ?	1
What are the only players eligible to score points in Roller Derby called ?	3
Who is the president of Bolivia ?	3
What city houses the U.S. headquarters of Procter and Gamble ?	4
What does a polyorchid man have at least three of ?	1
What song put James Taylor in the limelight ?	1
What are the shortest and the longest songs ever produced ?	1
How far can a human eye see ?	5
What strait separates North America from Asia ?	4
Who wrote the song , `` Stardust '' ?	3
What desert country borders Saudi Arabia , Iraq and the Persian Gulf ?	4
When was the first stained glass window made ?	5
What is the pig population of the world ?	5
What year did the U.S. buy Alaska ?	5
What is tumbled marble ?	0
What piece of jewelry is pictured on Monopoly 's Luxury Tax space ?	1
What instrument is Ray Charles best known for playing ?	1
What is a disaccharide ?	0
What U.S. state lived under six flags ?	4
What does the term 3 mean to a newspaper editor ?	0
What novel inspired the movie BladeRunner ?	1
What kind of poisoning is known as plumbism ?	1
What female faith healer wrote the inspirational book I Believe in Miracles ?	3
Who declared : `` I am down on whores and I shan 't stop ripping them '' ?	3
What kind of meat is Fray Bentos synonymous with ?	1
What class is categorized as the bourgeoisie ?	1
What does Robert mean ?	0
