document	label
a real snooze .	0
solondz may well be the only one laughing at his own joke	0
not counting a few gross-out comedies i 've been trying to forget , this is the first film in a long time that made me want to bolt the theater in the first 10 minutes .	0
just not campy enough	0
almost every scene in this film is a gem that could stand alone , a perfectly realized observation of mood , behavior and intent .	1
narratively , trouble every day is a plodding mess .	0
pratfalls aside , barbershop gets its greatest play from the timeless spectacle of people really talking to each other .	1
filmmaker stacy peralta has a flashy editing style that does n't always jell with sean penn 's monotone narration , but he respects the material without sentimentalizing it .	1
even if the ring has a familiar ring , it 's still unusually crafty and intelligent for hollywood horror .	1
whole stretches of the film may be incomprehensible to moviegoers not already clad in basic black .	0
a solidly seaworthy chiller .	1
the humor is n't as sharp , the effects not as innovative , nor the story as imaginative as in the original .	0
offers very little genuine romance and even fewer laughs ... a sad sitcom of a movie , largely devoid of charm .	0
medem may have disrobed most of the cast , leaving their bodies exposed , but the plot remains as guarded as a virgin with a chastity belt .	0
famuyiwa 's feature deals with its subject matter in a tasteful , intelligent manner , rather than forcing us to endure every plot contrivance that the cliché-riddled genre can offer .	1
it 's a testament to the film 's considerable charm that it succeeds in entertaining , despite playing out like a feature-length sitcom replete with stereotypical familial quandaries .	1
kinnear 's performance is a career-defining revelation .	1
this ill-conceived and expensive project winds up looking like a bunch of talented thesps slumming it .	0
enjoyably fast-moving , hard-hitting documentary .	1
punish the vehicle to adore the star .	0
i found myself growing more and more frustrated and detached as vincent became more and more abhorrent .	0
for those for whom the name woody allen was once a guarantee of something fresh , sometimes funny , and usually genuinely worthwhile , hollywood ending is a depressing experience	0
the film is an earnest try at beachcombing verismo , but it would be even more indistinct than it is were it not for the striking , quietly vulnerable personality of ms. ambrose .	0
i do n't think i laughed out loud once .	0
it 's astonishing .	1
looks awfully like one long tourist spot for a mississippi that may never have existed outside of a scriptwriter 's imagination .	0
but taken as a stylish and energetic one-shot , the queen of the damned can not be said to suck .	1
boring and meandering .	0
most fish stories are a little peculiar , but this is one that should be thrown back in the river .	0
where 's the movie here ?	0
intelligent and moving .	1
in addition to gluing you to the edge of your seat , changing lanes is also a film of freshness , imagination and insight .	1
may be spoofing an easy target -- those old ' 50 's giant creature features -- but ... it acknowledges and celebrates their cheesiness as the reason why people get a kick out of watching them today .	1
some decent actors inflict big damage upon their reputations .	0
holm does his sly , intricate magic , and iben hjelje is entirely appealing as pumpkin .	1
affleck and jackson are good sparring partners .	1
a sustained fest of self-congratulation between actor and director that leaves scant place for the viewer .	0
the film is so packed with subplots involving the various silbersteins that it feels more like the pilot episode of a tv series than a feature film .	0
shallow .	0
an alternately raucous and sappy ethnic sitcom ... you 'd be wise to send your regrets .	0
sparkling , often hilarious romantic jealousy comedy ... attal looks so much like a young robert deniro that it seems the film should instead be called ` my husband is travis bickle ' .	1
set in a 1986 harlem that does n't look much like anywhere in new york .	0
ill-considered , unholy hokum .	0
the actors are fantastic .	1
a fast , funny , highly enjoyable movie .	1
an undeniably moving film to experience , and ultimately that 's what makes it worth a recommendation .	1
while undercover brother is definitely one for the masses , it 's also full of sharp , smart satire .	1
oh come on .	0
heartwarming and gently comic even as the film breaks your heart .	1
the characters ... are paper-thin , and their personalities undergo radical changes when it suits the script .	0
with `` ichi the killer '' , takashi miike , japan 's wildest filmmaker gives us a crime fighter carrying more emotional baggage than batman ...	0
i do n't think this movie loves women at all .	0
immersing us in the endlessly inventive , fiercely competitive world of hip-hop djs , the project is sensational and revelatory , even if scratching makes you itch .	1
at first , the sight of a blind man directing a film is hilarious , but as the film goes on , the joke wears thin .	0
discursive but oddly riveting documentary .	1
like a three-ring circus , there are side stories aplenty -- none of them memorable .	0
the thing about guys like evans is this : you 're never quite sure where self-promotion ends and the truth begins .	0
cherish is a dud -- a romantic comedy that 's not the least bit romantic and only mildly funny .	0
a solid examination of the male midlife crisis .	1
one of the best examples of how to treat a subject , you 're not fully aware is being examined , much like a photo of yourself you did n't know was being taken .	1
no sophomore slump for director sam mendes , who segues from oscar winner to oscar-winning potential with a smooth sleight of hand .	1
the end result is a film that 's neither .	0
the vivid lead performances sustain interest and empathy , but the journey is far more interesting than the final destination .	1
whenever it threatens to get bogged down in earnest dramaturgy , a stirring visual sequence like a surge through swirling rapids or a leap from pinnacle to pinnacle rouses us .	1
the fascination comes in the power of the huston performance , which seems so larger than life and yet so fragile , and in the way the ivan character accepts the news of his illness so quickly but still finds himself unable to react .	1
in its treatment of the dehumanizing and ego-destroying process of unemployment , time out offers an exploration that is more accurate than anything i have seen in an american film .	1
at its best , which occurs often , michael moore 's bowling for columbine rekindles the muckraking , soul-searching spirit of the ` are we a sick society ? '	1
a summary of the plot does n't quite do justice to the awfulness of the movie , for that comes through all too painfully in the execution .	0
what ultimately makes windtalkers a disappointment is the superficial way it deals with its story .	0
nervy and sensitive , it taps into genuine artistic befuddlement , and at the same time presents a scathing indictment of what drives hollywood .	1
khouri manages , with terrific flair , to keep the extremes of screwball farce and blood-curdling family intensity on one continuum .	1
the film 's highlight is definitely its screenplay , both for the rhapsodic dialogue that jumps off the page , and for the memorable character creations .	1
this cinema verite speculation on the assassination of john f. kennedy may have been inspired by blair witch , but it takes its techniques into such fresh territory that the film never feels derivative .	1
it 's traditional moviemaking all the way , but it 's done with a lot of careful period attention as well as some very welcome wit .	1
it 's tough to watch , but it 's a fantastic movie .	1
thoughtful , even stinging at times , and lots of fun .	1
may puzzle his most ardent fans .	0
a comprehensive and provocative film -- one that pushes the boundaries of biography , and challenges its audience .	1
